"","X7_Cell_ID","Human","Livestock","Machinery","Dog","No_active_disturbance","Farm_hut","Road","Fence","Settlement","No_infrastructure","Water_source","Industrial_uses","Powerline","Flat","Sloping","Undulating","Soil","Sand","Gravel","Rocky","Grassland","Agriculture_active","Agriculture_inactive","Scrubland","X","transect_length","Habitat_points","Bird_points","Canal_length","Canal"
"1","BK1",0.375,0.5,0,0,0.375,0,0,0.875,0,0,0.375,0,1,0.375,0,0.625,0.875,0.25,0,0,0,0.375,0.125,0.875,1,16,8,44,0,0
"2","BK101",0.888888888888889,0.777777777777778,0.111111111111111,0.555555555555556,0.111111111111111,0.666666666666667,0.222222222222222,0.666666666666667,0.222222222222222,0.111111111111111,0.888888888888889,0,0.666666666666667,0.222222222222222,0.222222222222222,0.555555555555556,0.444444444444444,0.555555555555556,0,0,0,0.222222222222222,0.222222222222222,0.333333333333333,2,16,9,52,28646.28579,1
"3","BK104",0.555555555555556,0.666666666666667,0,0.111111111111111,0,0,0.444444444444444,0.333333333333333,0,0.222222222222222,0.444444444444444,0,0.555555555555556,0.111111111111111,0,0.888888888888889,0,1,0,0,0.222222222222222,0,0.333333333333333,0.888888888888889,3,16,9,27,11623.95961,1
"4","BK107",0.75,0.75,0.25,0,0.25,0,0.25,0.625,0.25,0,0.625,0,0.875,0.25,0.125,0.625,0.875,0.25,0,0,0.125,0.375,0.125,0.625,4,18,8,32,0,0
"5","BK111",0.714285714285714,0.714285714285714,0.571428571428571,0.142857142857143,0.285714285714286,0,0.142857142857143,0.571428571428571,0.285714285714286,0,0.428571428571429,0,1,0.428571428571429,0,0.571428571428571,1,0.714285714285714,0,0,0.142857142857143,0,0,0.857142857142857,5,13,7,11,13108.88993,1
"6","BK113",0.625,0.75,0.125,0,0.125,0,0.125,0.625,0.25,0.375,0.125,0,0.375,0.125,0.125,0.75,1,0.5,0,0,0.125,0.125,0,0.875,6,18,8,37,0,0
"7","BK115",0.25,0.625,0,0,0.375,0,0,0.25,0.125,0,0.625,0,0.5,0.875,0,0.125,1,0.125,0,0,0.25,0.125,0.875,0,7,30,8,61,16229.53434,1
"8","BK123",0.428571428571429,0.571428571428571,0.142857142857143,0.428571428571429,0.428571428571429,0,0.285714285714286,0.857142857142857,0.142857142857143,0,0.857142857142857,0,0.714285714285714,0.142857142857143,0,0.857142857142857,0.571428571428571,1,0,0,0.142857142857143,0.142857142857143,0.285714285714286,0.714285714285714,8,12,7,34,0,0
"9","BK124",0.888888888888889,0.555555555555556,0.111111111111111,0.444444444444444,0.111111111111111,0.444444444444444,1,0.555555555555556,0,0,0.333333333333333,0,0,0.222222222222222,0.111111111111111,0.666666666666667,0.666666666666667,0.444444444444444,0,0,0,0.111111111111111,0.222222222222222,1,9,16,9,40,0,0
"10","BK127",0.7,0.6,0,0.1,0.2,0,0.1,0.6,0.1,0.1,0.6,0,0.3,0.2,0,0.8,0.4,1,0,0,0.8,0.3,0.1,0.1,10,20,10,42,53854.96586,1
"11","BK128",0.25,0.25,0.125,0.125,0.75,0.125,0.125,0.25,0.125,0.25,0.875,0,0.25,0.125,0.125,0.75,1,0.375,0,0,0,0.125,0,0.375,11,14,8,41,32764.13208,1
"12","BK129",0.555555555555556,0.444444444444444,0,0.333333333333333,0.444444444444444,0,0.111111111111111,0.555555555555556,0.222222222222222,0.111111111111111,0.333333333333333,0,0.777777777777778,0.666666666666667,0,0.333333333333333,0.777777777777778,0.666666666666667,0,0,0.444444444444444,0.222222222222222,0.555555555555556,0.888888888888889,12,15,9,15,19598.19763,1
"13","BK131",0.75,0.625,0.375,0.375,0.25,0,0,1,0.375,0,0.875,0.125,1,0.75,0,0.25,1,0,0,0,0,0.5,0.375,0.375,13,18,8,41,0,0
"14","BK14",0.333333333333333,0.333333333333333,0,0.166666666666667,0.416666666666667,0,0.0833333333333333,0.416666666666667,0.0833333333333333,0.25,0.25,0,0,0.0833333333333333,0.5,0.416666666666667,0.333333333333333,0.916666666666667,0.0833333333333333,0,0.0833333333333333,0,0.583333333333333,0.75,14,22,12,50,0,0
"15","BK142",0.625,0.875,0,0,0.125,0,0,1,0,0,0.25,0,0.625,0.375,0.5,0.125,0.875,0.5,0,0,0.625,0.125,0,1,15,15,8,38,284.8229237,1
"16","BK144",0.75,0.25,0.875,0,0.125,0.25,1,0,0,0,0,0,0,0.125,0.25,0.625,0.875,0.375,0,0,0.25,0,0.25,0.75,16,12,8,25,0,0
"17","BK147",0.625,0.375,0.25,0.25,0.375,0.375,0.25,0.5,0.125,0.125,0.625,0,0.375,0.75,0.125,0.125,1,0.25,0,0,0.25,0.25,0.25,0.5,17,14,8,30,32313.77996,1
"18","BK148",0.636363636363636,0.363636363636364,0,0.0909090909090909,0.363636363636364,0,0.181818181818182,0.272727272727273,0.181818181818182,0.545454545454545,0.363636363636364,0,0.272727272727273,0.363636363636364,0,0.636363636363636,1,0.636363636363636,0,0,0,0.0909090909090909,0.363636363636364,0.818181818181818,18,18,11,24,15857.86261,1
"19","BK149",0.636363636363636,0.454545454545455,0.0909090909090909,0.181818181818182,0.272727272727273,0.272727272727273,0.0909090909090909,0.454545454545455,0.363636363636364,0.0909090909090909,0.454545454545455,0,0.363636363636364,0.909090909090909,0.0909090909090909,0,1,0.363636363636364,0,0,0.0909090909090909,0.0909090909090909,0.909090909090909,0,19,18,11,43,0,0
"20","BK152",0.9,0.7,0.3,0.3,0.1,0,0.1,0.9,0.3,0,0.6,0,1,1,0,0,1,0,0,0,0,0.6,0.2,0.1,20,14,10,29,0,0
"21","BK153",0.888888888888889,0.333333333333333,0,0,0.111111111111111,0.555555555555556,0.333333333333333,0.666666666666667,0,0.111111111111111,0.666666666666667,0,0.444444444444444,0.666666666666667,0.111111111111111,0.222222222222222,0.666666666666667,0.333333333333333,0,0,0,0.555555555555556,0.111111111111111,0.333333333333333,21,14,9,42,53103.42561,1
"22","BK156",0.714285714285714,0.857142857142857,0,0.428571428571429,0.142857142857143,0,0.142857142857143,0.857142857142857,0.142857142857143,0,0.428571428571429,0,0.428571428571429,0.714285714285714,0,0.285714285714286,1,0,0,0,0.285714285714286,0,0,1,22,11,7,23,17232.73252,1
"23","BK158",0.538461538461538,0.461538461538462,0.0769230769230769,0.230769230769231,0.384615384615385,0,0.538461538461538,0.538461538461538,0.0769230769230769,0,0.538461538461538,0,0.923076923076923,0.307692307692308,0,0.692307692307692,0.0769230769230769,1,0,0,0.230769230769231,0.153846153846154,0.0769230769230769,0.769230769230769,23,24,13,54,9946.488462,1
"24","BK159",0.875,0.875,0,0.5,0.125,0,0.5,0.875,0,0.125,0.75,0,0.375,0,0,1,0.625,0.75,0,0,0,0,1,0.375,24,14,8,50,0,0
"25","BK16",1,0,0,0.5,0,0,0.166666666666667,0.833333333333333,0,0.166666666666667,0.166666666666667,0,0.5,0.5,0,0.5,0.666666666666667,0.5,0.333333333333333,0,0,0.5,0.166666666666667,0.666666666666667,25,12,6,7,34385.76757,1
"26","BK162",0.25,0.125,0,0,0.75,0,1,0.125,0,0,0,0,0,0.125,0.125,0.75,0.375,0.625,0,0,0,0,0,1,26,14,8,5,21637.91382,1
"27","BK165",0.375,0.375,0.25,0.125,0.625,0.125,0.125,0.375,0.25,0.375,0.375,0,0.5,0.5,0,0.5,0.875,0.75,0,0,0.25,0.125,0.25,0.75,27,14,8,22,25525.55352,1
"28","BK176",0.5,0.375,0.25,0.375,0.25,0,0.25,0.5,0,0,0.5,0.25,0.875,1,0,0,0.5,0.625,0,0,0.25,0,0.875,0.5,28,13,8,12,0,0
"29","BK185",0.6,0.4,0,0.2,0.4,0,0.4,0.5,0.3,0,0.6,0,0.5,0.3,0.1,0.6,0.3,0.7,0,0,0.1,0.2,0.1,0.4,29,19,10,42,19770.16801,1
"30","BK186",1,0.166666666666667,0.5,0.333333333333333,0,0,0.166666666666667,0.833333333333333,0.833333333333333,0,0.833333333333333,0,1,0.833333333333333,0,0.166666666666667,0.833333333333333,0.166666666666667,0,0,0,0.166666666666667,0,0.833333333333333,30,11,6,32,10397.28321,1
"31","BK191",0.444444444444444,0.333333333333333,0,0.222222222222222,0.444444444444444,0.333333333333333,0.222222222222222,0.888888888888889,0.222222222222222,0,0.555555555555556,0,0.777777777777778,1,0,0,0.888888888888889,0.111111111111111,0,0,0.111111111111111,0.444444444444444,0.444444444444444,0.111111111111111,31,15,9,45,0,0
"32","BK193",0.222222222222222,0.333333333333333,0,0,0.555555555555556,0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222,0.333333333333333,0.222222222222222,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.777777777777778,0.666666666666667,0.111111111111111,0,0,0,1,0.666666666666667,32,16,9,30,0,0
"33","BK200",0.4,0.4,0,0.1,0.5,0.7,0,0.1,0,0.3,0,0,0,0.5,0.1,0.4,1,0.4,0,0,0.1,0,1,0.3,33,18,10,29,0,0
"34","BK203",0.111111111111111,0.222222222222222,0,0.111111111111111,0.666666666666667,0.555555555555556,0,0.444444444444444,0.111111111111111,0.111111111111111,0.444444444444444,0,0,0.888888888888889,0.111111111111111,0,1,0.333333333333333,0.111111111111111,0,0,0,1,0.555555555555556,34,15,9,42,0,0
"35","BK211",0.833333333333333,0.388888888888889,0.444444444444444,0.0555555555555556,0.0555555555555556,0.0555555555555556,0.944444444444444,0.166666666666667,0.0555555555555556,0.0555555555555556,0.222222222222222,0,0.944444444444444,0.222222222222222,0.166666666666667,0.611111111111111,1,0.0555555555555556,0,0,0.333333333333333,0,0.166666666666667,0.888888888888889,35,32,18,48,0,0
"36","BK212",0.857142857142857,0.857142857142857,0,0.571428571428571,0.142857142857143,0,0.142857142857143,0.857142857142857,0.285714285714286,0,1,0,0.714285714285714,0.571428571428571,0,0.428571428571429,0.857142857142857,0.142857142857143,0,0,0,0.142857142857143,0,0.857142857142857,36,15,7,30,0,0
"37","BK215",0.333333333333333,0.555555555555556,0,0.666666666666667,0.111111111111111,0,0.111111111111111,0.777777777777778,0.111111111111111,0,0.888888888888889,0,0.555555555555556,1,0,0,1,0,0,0,0.333333333333333,0.111111111111111,0.555555555555556,0,37,18,9,33,37042.58398,1
"38","BK216",0,0.714285714285714,0,0,0.285714285714286,0,0.142857142857143,0.571428571428571,0.142857142857143,0.285714285714286,0.142857142857143,0,0.571428571428571,0,0.142857142857143,0.857142857142857,0.714285714285714,0.714285714285714,0,0,0,0,0,1,38,14,7,14,5672.266899,1
"39","BK218",0.25,0.375,0,0,0.625,0.25,0.125,0,0,0.5,0.375,0,0.125,0.375,0.125,0.5,1,0.5,0,0,0,0,0.625,0.75,39,14,8,35,0,0
"40","BK221",0.625,0.125,0.25,0.125,0.375,0.375,0.375,0.5,0.125,0.125,0.5,0,0.5,0.25,0.375,0.375,0.625,0.25,0.125,0,0,0.125,0.75,0.5,40,15,8,30,39646.81472,1
"41","BK228",0.875,0.625,0,0.5,0.125,0,0.25,1,0.5,0,0.875,0,0.875,0.625,0.125,0.25,0.625,0.375,0,0,0,0.25,0,0.75,41,18,8,36,0,0
"42","BK229",0.666666666666667,0.666666666666667,0.333333333333333,0.222222222222222,0.111111111111111,0,0,1,0.222222222222222,0,0.888888888888889,0,0.888888888888889,1,0,0,1,0,0,0,0.222222222222222,0.333333333333333,0.111111111111111,0.777777777777778,42,15,9,53,0,0
"43","BK23",0.909090909090909,0.727272727272727,0.0909090909090909,0.0909090909090909,0,0,0.181818181818182,0.818181818181818,0,0,0.454545454545455,0,0.727272727272727,0.454545454545455,0.0909090909090909,0.454545454545455,0.454545454545455,0.727272727272727,0,0,0,0.363636363636364,0.454545454545455,0.545454545454545,43,18,11,54,12784.49,1
"44","BK233",0.272727272727273,0.363636363636364,0,0,0.636363636363636,0,0.0909090909090909,0.363636363636364,0.0909090909090909,0.545454545454545,0,0,0.272727272727273,0.363636363636364,0.272727272727273,0.363636363636364,0.454545454545455,0.636363636363636,0,0,0,0,0.727272727272727,0.636363636363636,44,18,11,43,15179.67348,1
"45","BK236",0.777777777777778,0.555555555555556,0.111111111111111,0.555555555555556,0.111111111111111,0,0.111111111111111,1,0.333333333333333,0,1,0,1,0.777777777777778,0,0.222222222222222,0.888888888888889,0.111111111111111,0,0,0,0.666666666666667,0,0.444444444444444,45,17,9,57,0,0
"46","BK24",0.7,0.5,0.2,0.3,0.2,0,0.1,0.8,0.1,0,0.8,0.1,0.7,0.9,0,0.1,1,0,0,0,0.6,0.3,0.3,0.1,46,14,10,51,0,0
"47","BK240",0.8,0.6,0.0666666666666667,0.266666666666667,0.133333333333333,0,0.266666666666667,0.2,0.133333333333333,0,0.4,0.266666666666667,0.533333333333333,1,0,0,1,0,0.2,0,0.466666666666667,0.0666666666666667,0.333333333333333,0.4,47,26,15,19,97.71241927,1
"48","BK241",0.375,0,0,0,0.625,0.25,0,0.375,0,0.125,0.375,0,0.125,0.5,0.375,0.125,0.625,0.5,0,0,0.125,0,1,0.625,48,16,8,20,29926.98131,1
"49","BK248",1,0.857142857142857,0,0.285714285714286,0,0,0.142857142857143,1,0.428571428571429,0,1,0,1,1,0,0,1,0,0,0,0,0.571428571428571,0.285714285714286,0.285714285714286,49,13,7,41,0,0
"50","BK249",0.5,0.375,0,0.125,0.5,0,0.625,0.5,0.25,0.25,0.375,0,0.75,0.875,0,0.125,0.875,0.125,0,0,0,0,0.125,0.875,50,15,8,16,3074.205497,1
"51","BK250",0.142857142857143,0,0,0,0.857142857142857,0,0.857142857142857,0,0,0.142857142857143,0,0,0,0.428571428571429,0.142857142857143,0.428571428571429,1,0,0,0,0,0,0,1,51,12,7,16,0,0
"52","BK252",0.857142857142857,0.428571428571429,0.571428571428571,0.285714285714286,0.142857142857143,0,0.714285714285714,1,0.285714285714286,0,0.857142857142857,0,0.285714285714286,0,0,1,0.571428571428571,1,0,0,0,0,1,0.285714285714286,52,12,7,27,0,0
"53","BK253",0.285714285714286,0.285714285714286,0,0,0.571428571428571,0,1,0.142857142857143,0,0,0,0,0.142857142857143,0.428571428571429,0,0.571428571428571,0.428571428571429,0.571428571428571,0,0,0,0,0,1,53,13,7,22,0,0
"54","BK256",0.727272727272727,0.272727272727273,0,0.0909090909090909,0.272727272727273,0,0,0.818181818181818,0,0.0909090909090909,0.636363636363636,0.0909090909090909,0.818181818181818,1,0,0,1,0.181818181818182,0,0,0.272727272727273,0.454545454545455,0.181818181818182,0.363636363636364,54,18,11,24,26553.45978,1
"55","BK259",0.75,0.75,0,0.75,0,0,0.5,0.75,0.75,0,0.25,0,0.75,1,0,0,1,0,0,0,0,0,0.25,0.75,55,8,4,34,27639.5293,1
"56","BK260",0.545454545454545,0.727272727272727,0.0909090909090909,0,0.272727272727273,0,0,0.454545454545455,0,0.272727272727273,0.181818181818182,0,0.363636363636364,0.636363636363636,0,0.363636363636364,0.727272727272727,0.818181818181818,0,0,0.0909090909090909,0.0909090909090909,0.727272727272727,0.909090909090909,56,20,11,23,23152.46877,1
"57","BK263",0.5,0.2,0.3,0,0.3,0.3,0,0.6,0.2,0.3,0,0,0,0.6,0.4,0,0.9,0.5,0,0,0.2,0.3,0.3,0.5,57,17,10,35,26631.15885,1
"58","BK264",0.166666666666667,0.5,0,0.166666666666667,0.5,0.166666666666667,0.166666666666667,0.666666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0,0.166666666666667,0,0.5,0.5,0.833333333333333,0.5,0,0,0,0.166666666666667,0.333333333333333,0.666666666666667,58,10,6,10,0,0
"59","BK266",0.3,0.9,0,0.1,0.1,0,0,0.6,0.4,0,0.6,0,0.5,1,0,0,1,0,0,0,0.1,0.1,0.6,0.6,59,20,10,9,7388.925637,1
"60","BK269",1,1,0,0.6,0,0,0.2,0.9,0.9,0,0.8,0,0.9,1,0,0,1,0,0,0,0.1,0,0.6,0.6,60,16,10,41,0,0
"61","BK275",0.666666666666667,0.666666666666667,0.222222222222222,0.111111111111111,0,0,0.111111111111111,0.666666666666667,0.333333333333333,0.111111111111111,0.666666666666667,0,0.666666666666667,0.777777777777778,0,0.222222222222222,0.777777777777778,0.222222222222222,0.111111111111111,0,0.111111111111111,0.222222222222222,0.555555555555556,0.555555555555556,61,16,9,49,22762.36258,1
"62","BK28",0.181818181818182,0.0909090909090909,0,0,0.818181818181818,0,0,0.272727272727273,0,0.636363636363636,0.0909090909090909,0,0,0.363636363636364,0.0909090909090909,0.545454545454545,0.636363636363636,0.636363636363636,0,0,0.0909090909090909,0.0909090909090909,0.545454545454545,0.818181818181818,62,19,11,28,0,0
"63","BK29",0.363636363636364,0.727272727272727,0.181818181818182,0.272727272727273,0.181818181818182,0.545454545454545,0.0909090909090909,0.818181818181818,0.0909090909090909,0.0909090909090909,0.181818181818182,0.0909090909090909,0.545454545454545,1,0,0,1,0,0,0,0.363636363636364,0.181818181818182,0.818181818181818,0.0909090909090909,63,20,11,17,19015.54622,1
"64","BK40",1,0.375,0,0.125,0,0.5,0.375,0.75,0,0.125,0.5,0,0.5,0.625,0.375,0,0.875,0.75,0,0,0,0.375,0.375,0.625,64,14,8,39,28317.56872,1
"65","BK43",0.333333333333333,0.444444444444444,0.111111111111111,0.222222222222222,0.444444444444444,0,0.111111111111111,0.222222222222222,0.333333333333333,0.666666666666667,0,0,0.111111111111111,0.777777777777778,0.111111111111111,0.111111111111111,0.777777777777778,0.333333333333333,0,0,0.444444444444444,0.111111111111111,0.333333333333333,0.888888888888889,65,16,9,8,20325.94405,1
"66","BK45",0.222222222222222,0,0.222222222222222,0,0.777777777777778,0,0,0,0,1,0,0,0,0.222222222222222,0,0.777777777777778,1,0.777777777777778,0,0,0.444444444444444,0,0,1,66,14,9,15,504.3825683,1
"67","BK47",0.666666666666667,0.333333333333333,0,0.166666666666667,0.333333333333333,0,0.166666666666667,0.833333333333333,0.333333333333333,0,0.5,0,0.666666666666667,0.833333333333333,0,0.166666666666667,0.833333333333333,0.333333333333333,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.833333333333333,67,9,6,26,4329.358599,1
"68","BK48",0.833333333333333,0.666666666666667,0.25,0.333333333333333,0,0,0.416666666666667,0.833333333333333,0.583333333333333,0,0.75,0,0.75,0.916666666666667,0,0.0833333333333333,1,0,0,0,0.333333333333333,0.416666666666667,0.416666666666667,0.0833333333333333,68,18,12,33,0,0
"69","BK50",0.777777777777778,0.444444444444444,0,0.333333333333333,0.111111111111111,0,0.111111111111111,0.888888888888889,0.111111111111111,0,0.666666666666667,0.111111111111111,0.333333333333333,1,0,0,1,0,0,0,0.444444444444444,0.222222222222222,0.444444444444444,0.111111111111111,69,17,9,40,50776.68848,1
"70","BK54",0.555555555555556,0.666666666666667,0.222222222222222,0,0.222222222222222,0,0.111111111111111,0.666666666666667,0.222222222222222,0.333333333333333,0,0,0.333333333333333,0.111111111111111,0,0.888888888888889,1,0.111111111111111,0,0,0,0.111111111111111,0,0.888888888888889,70,16,9,38,0,0
"71","BK57",0.777777777777778,0.666666666666667,0.333333333333333,0.222222222222222,0.222222222222222,0,0,0.666666666666667,0.111111111111111,0.222222222222222,0.777777777777778,0,0.222222222222222,0.333333333333333,0.111111111111111,0.555555555555556,0.777777777777778,0.666666666666667,0,0,0.111111111111111,0.111111111111111,0.666666666666667,0.888888888888889,71,18,9,10,16093.017,1
"72","BK59",1,0.444444444444444,0.111111111111111,0.333333333333333,0,0,0.222222222222222,0.888888888888889,0.555555555555556,0,0.333333333333333,0,0.777777777777778,0.555555555555556,0,0.444444444444444,0.666666666666667,0.555555555555556,0,0,0,0.444444444444444,0.333333333333333,0.666666666666667,72,16,9,45,31888.55264,1
"73","BK61",0.714285714285714,0.428571428571429,0,0.285714285714286,0.142857142857143,0,0,0.714285714285714,0.142857142857143,0,0.428571428571429,0,0.714285714285714,0.714285714285714,0.142857142857143,0.142857142857143,1,0,0,0,0.142857142857143,0.285714285714286,0.428571428571429,0.714285714285714,73,10,7,25,0,0
"74","BK62",0.333333333333333,0.444444444444444,0,0,0.444444444444444,0,0,0.222222222222222,0.222222222222222,0.111111111111111,0,0,0.777777777777778,0.222222222222222,0.333333333333333,0.444444444444444,0.777777777777778,0.666666666666667,0,0,0,0,0.666666666666667,0.888888888888889,74,16,9,26,0,0
"75","BK65",0.6,0.7,0.1,0.2,0.3,0,0,0.5,0.1,0,0.6,0,0.9,0.5,0.2,0.3,1,0.2,0,0,0,0,0.4,0.5,75,20,10,7,38954.2613,1
"76","BK7",0.444444444444444,0.333333333333333,0.333333333333333,0,0.444444444444444,0.222222222222222,0.111111111111111,0.444444444444444,0.222222222222222,0.111111111111111,0.333333333333333,0,0.444444444444444,0.333333333333333,0.555555555555556,0.111111111111111,0.777777777777778,0.888888888888889,0,0,0.333333333333333,0,0.444444444444444,0.666666666666667,76,16,9,41,0,0
"77","BK75",0.571428571428571,0.714285714285714,0,0.428571428571429,0.285714285714286,0,0.285714285714286,0.714285714285714,0.142857142857143,0,1,0,1,0.714285714285714,0,0.285714285714286,0.714285714285714,0.285714285714286,0,0,0,0.428571428571429,0,0.571428571428571,77,12,7,14,4547.73726,1
"78","BK77",0.666666666666667,0.6,0.2,0.2,0.2,0,0.0666666666666667,0.733333333333333,0.133333333333333,0.133333333333333,0.733333333333333,0,0.666666666666667,0.466666666666667,0,0.533333333333333,0.733333333333333,0.733333333333333,0,0,0.266666666666667,0.266666666666667,0,0.533333333333333,78,30,15,62,0,0
"79","BK80",0.75,0.625,0,0.125,0.125,0,0.125,0.875,0.375,0,0.5,0,0.75,1,0,0,0.875,0.125,0,0,0.125,0.375,0.625,0.375,79,15,8,45,0,0
"80","BK85",0.6,0.7,0,0.1,0.2,0.3,0.3,1,0.2,0,0.8,0,0.9,1,0,0,1,0,0,0,0.4,0.1,0.6,0,80,16,10,23,0,0
"81","BK86",0.636363636363636,0.545454545454545,0.181818181818182,0.0909090909090909,0.181818181818182,0,0.272727272727273,0.636363636363636,0.181818181818182,0.0909090909090909,0.545454545454545,0,0.454545454545455,0.181818181818182,0.181818181818182,0.636363636363636,0.818181818181818,0.727272727272727,0,0,0.272727272727273,0.0909090909090909,0.0909090909090909,0.636363636363636,81,17,11,9,32744.93731,1
"82","BK88",0.666666666666667,0.555555555555556,0,0.111111111111111,0.333333333333333,0,0.222222222222222,0.666666666666667,0.222222222222222,0.222222222222222,0.111111111111111,0,0.333333333333333,0.777777777777778,0,0.222222222222222,0.666666666666667,0.666666666666667,0,0,0,0.444444444444444,0.222222222222222,0.555555555555556,82,17,9,26,37169.56544,1
"83","BK90",0.777777777777778,0.777777777777778,0,0.333333333333333,0,0,0.222222222222222,1,0,0,1,0,0.777777777777778,1,0,0,1,0,0,0,0.333333333333333,0.333333333333333,0.555555555555556,0,83,17,9,53,0,0
"84","BK91",0.7,0.9,0.2,0.2,0,0,0,1,0,0,0.6,0,0.6,0.2,0,0.8,1,0.2,0,0,0.8,0,0.2,0.7,84,19,10,37,0,0
"85","BK92",0,0,0,0,1,0,0.5,0,0,0.5,0,0,0,0.3,0.3,0.4,1,0.4,0,0,0.4,0,0,0.9,85,16,10,10,0,0
"86","BK96",0.857142857142857,0.714285714285714,0.285714285714286,0.142857142857143,0.142857142857143,0,0.285714285714286,0.857142857142857,0.428571428571429,0.142857142857143,0.714285714285714,0,0.857142857142857,0.714285714285714,0.142857142857143,0.142857142857143,1,0.142857142857143,0,0,0.142857142857143,0.428571428571429,0.142857142857143,0.714285714285714,86,14,7,50,0,0
"87","BK97",0.833333333333333,0.666666666666667,0.833333333333333,0.166666666666667,0,0,0.5,0.5,0.333333333333333,0.166666666666667,0.666666666666667,0,0.333333333333333,0,0,1,0.333333333333333,0.833333333333333,0,0,0,0,0,1,87,10,6,26,0,0
"88","BK98",0.5,0.583333333333333,0,0.166666666666667,0.416666666666667,0.333333333333333,0.0833333333333333,0.0833333333333333,0,0.5,0.416666666666667,0,0.166666666666667,0.5,0,0.5,0.833333333333333,0.666666666666667,0,0,0,0,0.666666666666667,0.5,88,20,12,32,0,0
"89","BK99",0.8,0.8,0,0.5,0,0,0.1,0.7,0.4,0.1,0.7,0,0.6,0.7,0.1,0.2,0.8,0.5,0.1,0,0.2,0,0.5,0.6,89,15,10,53,0,0
